CVEGEO,Municipio,Pobreza_pct,Pobreza_extrema_pct,Carencia_servicios_pct
01001,Aguascalientes,23.6822578574,1.9740809501,1.1355700629
01002,Asientos,40.1318811907,4.1428057437,7.4112169067
01003,Calvillo,45.7559438264,4.4989728941,3.0785076824
01004,Cosío,37.0391820837,3.3771181213,4.3943795705
01005,Jesús María,26.3418356434,3.2854005406,2.3069385728
01006,Pabellón de Arteaga,28.9180201409,2.8751266331,3.5017631735
01007,Rincón de Romos,40.5114187954,5.5632684118,5.8956189453
01008,San José de Gracia,45.7709224917,2.3220399429,5.0998573466
01009,Tepezalá,37.6474724377,3.1497610207,7.6888288866
01010,El Llano,40.6121053517,4.8119017708,8.3499420616
01011,San Francisco de los Romo,37.790440594,5.9344600154,0.7470660601
02001,Ensenada,22.2984391711,2.0638135165,10.3265140575
02002,Mexicali,20.2190064344,1.0840310918,4.0063196922
02003,Tecate,21.1066942695,1.2070568761,4.2470131836
02004,Tijuana,23.7023626651,1.8559351458,3.3204317451
02005,Playas de Rosarito,31.2325758822,2.1612359063,6.1306443352
02006,San Quintín,34.903741775,3.7930495251,19.7925535432
03001,Comondú,34.9496860023,4.2766541598,7.8429332462
03002,Mulegé,24.1103271926,3.1614263169,14.2370508044
03003,La Paz,20.607253513,1.8863068014,4.6296358085
03008,Los Cabos,31.6999775122,4.7743869915,12.9370548032
03009,Loreto,34.0799644666,2.9391394398,7.6086040864
04001,Calkiní,62.8421447355,17.7823949521,54.2511609244
04002,Campeche,32.5294328189,4.7010236858,12.9042678197
04003,Carmen,35.3647126577,7.6250597842,21.7876730656
04004,Champotón,57.1733300345,12.1126174458,44.4241069327
04005,Hecelchakán,66.6811269282,16.5987284296,55.859546963
04006,Hopelchén,74.8523988736,21.7209789323,64.0166439963
04007,Palizada,59.8646888567,13.7175590931,53.31644959
04008,Tenabo,53.8631206752,10.600765425,46.5785274167
04009,Escárcega,68.0555381837,17.8337098936,46.9685560713
04010,Calakmul,82.9704274116,30.2628383885,70.3183262479
04011,Candelaria,80.4492018864,30.964924499,68.6318781441
04012,Seybaplaya,,,
05001,Abasolo,10.9748237664,0.6364551863,2.1148036254
05002,Acuña,23.4458965591,1.5069538756,1.6158003997
05003,Allende,24.7955442465,1.3975820387,1.2541906719
05004,Arteaga,29.014528978,3.1874210625,10.602045829
05005,Candela,33.3905362776,4.6113564669,4.7949526814
05006,Castaños,33.7488537763,4.2194338132,20.3173406861
05007,Cuatro Ciénegas,33.0032203328,6.4559107904,16.9078560815
05008,Escobedo,29.066822586,3.827597728,14.1329769462
05009,Francisco I. Madero,31.7725680629,3.4706098468,13.546549341
05010,Frontera,22.2502270681,1.7388309582,1.5970674428
05011,General Cepeda,37.0647340851,3.0969576652,5.492078887
05012,Guerrero,23.8311111111,3.0679365079,6.1587301587
05013,Hidalgo,24.1453879047,5.8472816127,5.192425168
05014,Jiménez,24.0701209364,3.7566847886,12.8813935427
05015,Juárez,29.3786597267,1.8497072219,3.4482758621
05016,Lamadrid,16.4573459716,0.8210900474,2.5473933649
05017,Matamoros,27.9075386099,2.3694906381,5.5439142613
05018,Monclova,22.8084836993,2.4117347421,0.9961726651
05019,Morelos,22.943359375,2.108203125,4.7786458333
05020,Múzquiz,28.9692516982,2.0744176625,3.8772267734
05021,Nadadores,16.7889139542,0.6500161134,7.2510473735
05022,Nava,24.4078747257,1.4998620251,1.8035425914
05023,Ocampo,34.1523488473,4.5187037843,10.7546759461
05024,Parras,30.0035533358,3.2053715055,7.2595541875
05025,Piedras Negras,22.5540890111,1.6658042622,0.3042884918
05026,Progreso,27.7326953748,2.1799043062,8.8676236045
05027,Ramos Arizpe,16.8056776759,1.4296178028,4.7102440645
05028,Sabinas,20.6400181138,1.2660710842,1.7618169031
05029,Sacramento,16.6313043478,1.9586956522,4.1304347826
05030,Saltillo,17.634660065,1.5530563916,1.9591090516
05031,San Buenaventura,23.1084816119,1.9368264783,1.9899348263
05032,San Juan de Sabinas,22.4135789834,1.3097884513,1.7246885125
05033,San Pedro,41.3823937357,7.0890057504,21.6022911648
05034,Sierra Mojada,25.5042030135,1.8666137986,3.0293417922
05035,Torreón,25.998767463,2.7052729556,0.603821951
05036,Viesca,43.2531470752,6.8584976195,9.0097481058
05037,Villa Unión,26.5895117541,2.5250698668,5.3098799934
05038,Zaragoza,32.7848098141,2.2656612069,5.8680903149
06001,Armería,38.4267126222,4.1376373851,15.7954034252
06002,Colima,24.9614263359,2.2264932963,4.5303971083
06003,Comala,46.3850668392,7.9164166626,32.1194684494
06004,Coquimatlán,44.0407266462,6.0872396485,22.5894376239
06005,Cuauhtémoc,29.0781277482,1.8511383169,8.5633487684
06006,Ixtlahuacán,41.7839305103,6.3639160333,39.4136807818
06007,Manzanillo,24.7426870984,1.6347690597,3.2586492018
06008,Minatitlán,27.9968500571,3.1207340417,33.4418456383
06009,Tecomán,37.8890598276,5.5372717228,15.6659393653
06010,Villa de Álvarez,19.421960878,0.9662126472,1.1018844667
07001,Acacoyagua,76.9991596932,21.6032549937,71.1323211209
07002,Acala,77.5214052008,28.1070716111,47.2321314831
07003,Acapetahua,57.9430970357,11.756508357,60.5588633853
07004,Altamirano,94.6361714314,44.6326715986,64.9179828481
07005,Amatán,90.4439780525,38.1957668468,87.7027461002
07006,Amatenango de la Frontera,80.3081354716,20.2204736391,56.6929088209
07007,Amatenango del Valle,94.273709591,42.9225754599,52.3397035185
07008,Angel Albino Corzo,84.9617253168,29.3198492705,59.3136353342
07009,Arriaga,62.0996915937,15.0709922743,38.3811148493
07010,Bejucal de Ocampo,93.8756646217,28.7875937287,46.2576687117
07011,Bella Vista,82.6181382654,19.6141810013,67.2374648345
07012,Berriozábal,61.641637737,21.060533782,50.3485623136
07013,Bochil,78.2750751125,34.6533598567,54.5461282406
07014,El Bosque,96.2651400772,47.6007381312,75.0671028351
07015,Cacahoatán,76.6340716917,29.6260316151,45.7956194508
07016,Catazajá,67.4060999811,19.6918520432,79.5685946064
07017,Cintalapa,71.9514913464,18.3332848886,46.0862979853
07018,Coapilla,82.9022217672,25.7179277158,60.3460632743
07019,Comitán de Domínguez,68.7716523735,18.6389086689,27.8678489812
07020,La Concordia,76.2359386911,23.3231912176,70.959204626
07021,Copainalá,74.7805557701,19.0509480794,57.9159508172
07022,Chalchihuitán,98.8691679358,76.4433061055,97.2449120864
07023,Chamula,96.3173261087,52.3087022537,72.7202357915
07024,Chanal,99.110794175,67.9634439273,91.6378922084
07025,Chapultenango,86.1167145005,28.8149514828,74.9077490775
07026,Chenalhó,98.625953209,69.421485818,91.2661208442
07027,Chiapa de Corzo,60.4733133952,17.3701221002,34.0924724289
07028,Chiapilla,82.6074673716,20.5693044771,46.0102428548
07029,Chicoasén,77.6597860762,26.1698254832,45.0741227247
07030,Chicomuselo,81.5644415308,26.2654175672,73.2443204949
07031,Chilón,96.8862871763,53.1921610745,94.4633299324
07032,Escuintla,70.4717306392,20.0979686873,51.3486444723
07033,Francisco León,86.5149464185,32.4739142696,78.510998308
07034,Frontera Comalapa,77.5531791013,26.7843331033,47.5244942699
07035,Frontera Hidalgo,69.1304714912,19.5284751836,64.0628199531
07036,La Grandeza,88.4299212598,12.2737532808,15.1181102362
07037,Huehuetán,56.1771446877,13.4088054941,68.808257207
07038,Huixtán,96.6475494385,49.2880738937,74.0543585219
07039,Huitiupán,94.1373250857,58.0015255109,90.4174223238
07040,Huixtla,56.9820139774,12.2901732958,45.12199148
07041,La Independencia,91.5964861332,34.2817777165,67.1538460009
07042,Ixhuatán,84.7930403513,23.1919594341,69.5130402504
07043,Ixtacomitán,65.6715478044,16.1571561083,60.3143261677
07044,Ixtapa,87.0056122697,40.9224223507,67.498527688
07045,Ixtapangajoya,71.9066186107,20.747542595,76.998689384
07046,Jiquipilas,64.6188286799,19.4395723968,55.9417638408
07047,Jitotol,94.5684123124,51.334786413,73.7637818454
07048,Juárez,54.636120067,11.0960928718,67.1365701601
07049,Larráinzar,95.7310026942,39.0020774499,54.4454182491
07050,La Libertad,42.770374662,8.1504441869,70.3746620317
07051,Mapastepec,70.844767198,20.5665494177,59.5360670721
07052,Las Margaritas,94.0799056301,41.0466276087,78.3212694169
07053,Mazapa de Madero,82.5722028649,17.3872757775,20.0283907601
07054,Mazatán,56.2934307677,13.1405410259,75.2833677657
07055,Metapa,59.9931236032,18.8114148186,60.2716176723
07056,Mitontic,98.3911206641,49.2665283131,96.8722205752
07057,Motozintla,71.1680399358,12.0179062147,22.3898542128
07058,Nicolás Ruíz,96.6488272921,46.6,76.908315565
07059,Ocosingo,92.4999123168,46.3338398859,88.2272627304
07060,Ocotepec,91.9847657373,46.746550733,79.843345789
07061,Ocozocoautla de Espinosa,72.5486122752,23.9452358389,54.2494573708
07062,Ostuacán,58.2936057549,14.2538587008,72.1934170746
07063,Osumacinta,69.2435734284,21.0944260626,48.6637821329
07064,Oxchuc,98.0780507644,62.4465457638,94.4909692567
07065,Palenque,69.8750784259,21.714083406,66.169443562
07066,Pantelhó,97.7813656371,63.8085537335,84.9063218167
07067,Pantepec,88.7643875148,34.8784669421,85.0293156058
07068,Pichucalco,60.9534588911,13.0215390224,58.8765061556
07069,Pijijiapan,68.2615948266,17.786522065,57.9903010224
07070,El Porvenir,94.6325755104,14.1263668534,28.089723688
07071,Villa Comaltitlán,55.4459731897,13.7029903804,75.5043802052
07072,Pueblo Nuevo Solistahuacán,92.0949542641,43.4769788592,61.5065006465
07073,Rayón,85.3201880498,30.1078190051,55.1570265257
07074,Reforma,56.7838489217,14.6741538264,46.6084485455
07075,Las Rosas,89.6196573854,38.1323345702,76.2036681611
07076,Sabanilla,93.398781461,32.8576921747,95.8695091248
07077,Salto de Agua,86.3731698651,31.2133066551,92.5153340301
07078,San Cristóbal de las Casas,66.1151701938,24.9915442963,23.6968968126
07079,San Fernando,62.2021448183,14.4519354445,42.7718329378
07080,Siltepec,91.8925956798,13.9924112986,12.7488237584
07081,Simojovel,95.3579868564,60.8589350497,85.2523231296
07082,Sitalá,97.1730001962,69.5964418863,93.5378376611
07083,Socoltenango,73.8671492252,19.2122120391,66.3950846137
07084,Solosuchiapa,75.5361302591,22.2798906584,63.2992631329
07085,Soyaló,90.4313835094,34.8345375326,61.0527332828
07086,Suchiapa,70.9350822319,23.0885694267,53.9439300619
07087,Suchiate,62.7460343745,15.4445031044,62.3309098216
07088,Sunuapa,66.3082311734,16.3826619965,79.2031523643
07089,Tapachula,58.4942052002,17.1002233753,34.765777658
07090,Tapalapa,78.7990029458,27.1493315205,68.3435304781
07091,Tapilula,73.1160553562,16.1437234163,57.9563421355
07092,Tecpatán,83.2349073077,30.7854647239,74.8692414537
07093,Tenejapa,97.0797998697,47.8146692173,82.0765624672
07094,Teopisca,91.5782277124,37.0944878162,53.7067782366
07096,Tila,98.0705840801,56.0302876109,96.2367649212
07097,Tonalá,60.9394180032,16.9795815538,40.7158672793
07098,Totolapa,94.1385407964,40.9809245336,76.5942634364
