ciclo,id_entidad_federativa,entidad_federativa,id_municipio,municipio,tomas_pagadas,monto_agua,monto_recaudado_percapita,lugar_estatal_percapita,lugar_nacional_percapita,promedio_recaudacion_percapita_estatal,promedio_recaudacion_percapita_nacional,poblacion
2010,1,Aguascalientes,1,Aguascalientes,257621,515712586,647,1,41,223,92,797010
2011,1,Aguascalientes,1,Aguascalientes,268753,570888645,716,1,43,241,100,797010
2012,1,Aguascalientes,1,Aguascalientes,274899,611953913,768,1,40,259,111,797010
2013,1,Aguascalientes,1,Aguascalientes,279030,635292862,797,1,42,269,117,797010
2014,1,Aguascalientes,1,Aguascalientes,283899,670791022,842,1,37,308,125,797010
2015,1,Aguascalientes,1,Aguascalientes,288749,688453486,785,1,57,287,125,877190
2016,1,Aguascalientes,1,Aguascalientes,249118,710165300,810,1,61,300,136,877190
2017,1,Aguascalientes,1,Aguascalientes,261125,734817130,838,1,76,335,147,877190
2018,1,Aguascalientes,1,Aguascalientes,250123,794859017,906,1,62,377,151,877190
2019,1,Aguascalientes,1,Aguascalientes,235030,857259456,977,1,68,436,166,877190
2020,1,Aguascalientes,1,Aguascalientes,242484,893532100,942,1,67,414,176,948990
2021,1,Aguascalientes,1,Aguascalientes,271561,998532067,1052,1,65,469,176,948990
2022,1,Aguascalientes,1,Aguascalientes,280365,1127706498,1188,1,56,560,197,948990
2023,1,Aguascalientes,1,Aguascalientes,299571,1136153751,1197,1,75,631,212,948990
2024,1,Aguascalientes,1,Aguascalientes,276469,1108857942,1168,2,95,632,225,948990
2010,1,Aguascalientes,2,Asientos,1207,455765,10,11,1461,223,92,45492
2011,1,Aguascalientes,2,Asientos,1875,706168,16,11,1344,241,100,45492
2012,1,Aguascalientes,2,Asientos,2023,1060404,23,11,1253,259,111,45492
2013,1,Aguascalientes,2,Asientos,1765,973062,21,11,1303,269,117,45492
2014,1,Aguascalientes,2,Asientos,2396,1497808,33,11,1195,308,125,45492
2015,1,Aguascalientes,2,Asientos,2786,1675000,36,11,1155,287,125,46464
2016,1,Aguascalientes,2,Asientos,3030,1845399,40,11,1160,300,136,46464
2017,1,Aguascalientes,2,Asientos,2786,1660280,36,11,1225,335,147,46464
2018,1,Aguascalientes,2,Asientos,2853,2029083,44,11,1155,377,151,46464
2019,1,Aguascalientes,2,Asientos,2983,2611979,56,11,1079,436,166,46464
2020,1,Aguascalientes,2,Asientos,2989,2961854,57,11,1108,414,162,51536
2021,1,Aguascalientes,2,Asientos,3358,3333629,65,11,1081,469,176,51536
2022,1,Aguascalientes,2,Asientos,5462,7926696,154,9,814,560,197,51536
2023,1,Aguascalientes,2,Asientos,7871,11079645,215,9,683,631,212,51536
2024,1,Aguascalientes,2,Asientos,7686,11741307,228,9,674,632,225,51536
2010,1,Aguascalientes,3,Calvillo,14633,17211437,318,4,200,223,92,54136
2011,1,Aguascalientes,3,Calvillo,15216,19879459,367,2,176,241,100,54136
2012,1,Aguascalientes,3,Calvillo,15880,17086066,316,4,255,259,111,54136
2013,1,Aguascalientes,3,Calvillo,16233,17257512,319,4,269,269,117,54136
2014,1,Aguascalientes,3,Calvillo,16787,22814493,421,4,196,308,125,54136
2015,1,Aguascalientes,3,Calvillo,17031,22830615,407,4,206,287,125,56048
2016,1,Aguascalientes,3,Calvillo,16409,25747768,459,2,197,300,136,56048
2017,1,Aguascalientes,3,Calvillo,15719,29448085,525,4,183,335,147,56048
2018,1,Aguascalientes,3,Calvillo,16027,30781278,549,4,178,377,151,56048
2019,1,Aguascalientes,3,Calvillo,16334,33329966,595,4,189,436,166,56048
2020,1,Aguascalientes,3,Calvillo,16877,38814809,666,3,143,414,162,58250
2021,1,Aguascalientes,3,Calvillo,17275,38304834,658,3,174,469,176,58250
2022,1,Aguascalientes,3,Calvillo,17525,40167264,690,4,189,560,197,58250
2023,1,Aguascalientes,3,Calvillo,17725,41310944,709,4,203,631,212,58250
2024,1,Aguascalientes,3,Calvillo,18104,45020911,773,4,196,632,225,58250
2010,1,Aguascalientes,4,Cosío,3710,432294,29,10,1116,223,92,15042
2011,1,Aguascalientes,4,Cosío,3720,688388,46,10,998,241,100,15042
2012,1,Aguascalientes,4,Cosío,1420,918929,61,9,945,259,111,15042
2013,1,Aguascalientes,4,Cosío,958,597384,40,10,1101,269,117,15042
2014,1,Aguascalientes,4,Cosío,1460,621967,41,10,1117,308,125,15042
2015,1,Aguascalientes,4,Cosío,919,785091,50,10,1052,287,125,15577
2016,1,Aguascalientes,4,Cosío,921,814754,52,10,1068,300,136,15577
2017,1,Aguascalientes,4,Cosío,1065,927160,60,10,1042,335,147,15577
2018,1,Aguascalientes,4,Cosío,1062,1232438,79,10,941,377,151,15577
2019,1,Aguascalientes,4,Cosío,983,1104349,71,10,1005,436,166,15577
2020,1,Aguascalientes,4,Cosío,774,1047418,62,10,1072,414,162,17000
2021,1,Aguascalientes,4,Cosío,996,1124211,66,10,1071,469,176,17000
2022,1,Aguascalientes,4,Cosío,1314,1995090,117,11,928,560,197,17000
2023,1,Aguascalientes,4,Cosío,1598,2670223,157,10,808,631,212,17000
2024,1,Aguascalientes,4,Cosío,1648,2323069,137,10,891,632,225,17000
